"Codgeo";"ZInter_fact_40000"
"01001";"Reg_I7_14"
"01002";"Reg_I7_13"
"01004";"Reg_84_55"
"01005";"Reg_84_85"
"01006";"Reg_84_11"
"01007";"Reg_84_86"
"01008";"Reg_84_11"
"01009";"Reg_84_11"
"01010";"Reg_84_56"
"01011";"Reg_I7_13"
"01012";"Reg_I7_13"
"01013";"Reg_84_11"
"01014";"Reg_I7_18"
"01015";"Reg_84_11"
"01016";"Reg_I7_4"
"01017";"Reg_84_11"
"01019";"Reg_84_78"
"01021";"Reg_I7_14"
"01022";"Reg_84_78"
"01023";"Reg_I7_4"
"01024";"Reg_I7_17"
"01025";"Reg_I7_4"
"01026";"Reg_I7_4"
"01027";"Reg_84_85"
"01028";"Reg_I7_14"
"01029";"Reg_I7_17"
"01030";"Reg_84_35"
"01031";"Reg_I7_18"
"01032";"Reg_84_85"
"01033";"Reg_I7_3"
"01034";"Reg_84_78"
"01035";"Reg_I7_18"
"01036";"Reg_84_78"
"01037";"Reg_84_11"
"01038";"Reg_I7_17"
"01039";"Reg_84_78"
"01040";"Reg_I7_4"
"01041";"Reg_84_11"
"01042";"Reg_I7_14"
"01043";"Reg_84_83"
"01044";"Reg_84_56"
"01045";"Reg_84_85"
"01046";"Reg_I7_4"
"01047";"Reg_84_55"
"01049";"Reg_84_83"
"01050";"Reg_I7_4"
"01051";"Reg_I7_17"
"01052";"Reg_I7_14"
"01053";"Reg_84_52"
"01054";"Reg_84_85"
"01056";"Reg_I7_13"
"01057";"Reg_I7_4"
"01058";"Reg_84_11"
"01059";"Reg_84_56"
"01060";"Reg_I7_13"
"01061";"Reg_84_78"
"01062";"Reg_84_85"
"01063";"Reg_I7_13"
"01064";"Reg_84_11"
"01065";"Reg_84_52"
"01066";"Reg_84_78"
"01067";"Reg_I7_13"
"01068";"Reg_I7_13"
"01069";"Reg_84_52"
"01071";"Reg_I7_6"
"01072";"Reg_I7_17"
"01073";"Reg_84_78"
"01074";"Reg_84_86"
"01075";"Reg_I7_14"
"01076";"Reg_I7_13"
"01077";"Reg_I7_13"
"01078";"Reg_I7_3"
"01079";"Reg_84_78"
"01080";"Reg_I7_13"
"01081";"Reg_I7_18"
"01082";"Reg_84_56"
"01083";"Reg_I7_14"
"01084";"Reg_I7_14"
"01085";"Reg_I7_14"
"01087";"Reg_I7_13"
"01088";"Reg_84_83"
"01089";"Reg_84_86"
"01090";"Reg_84_86"
"01091";"Reg_I7_3"
"01092";"Reg_84_86"
"01093";"Reg_I7_14"
"01094";"Reg_I7_4"
"01095";"Reg_I7_17"
"01096";"Reg_84_86"
"01097";"Reg_84_78"
"01098";"Reg_84_78"
"01099";"Reg_84_55"
"01100";"Reg_84_78"
"01101";"Reg_I7_13"
"01102";"Reg_I7_4"
"01103";"Reg_I7_6"
"01104";"Reg_I7_18"
"01105";"Reg_84_85"
"01106";"Reg_I7_17"
"01107";"Reg_84_11"
"01108";"Reg_I7_1"
"01109";"Reg_I7_3"
"01110";"Reg_84_11"
"01111";"Reg_84_11"
"01112";"Reg_I7_13"
"01113";"Reg_I7_14"
"01114";"Reg_I7_3"
"01115";"Reg_I7_17"
"01116";"Reg_84_11"
"01117";"Reg_84_11"
"01118";"Reg_84_56"
"01121";"Reg_I7_13"
"01122";"Reg_84_78"
"01123";"Reg_I7_14"
"01124";"Reg_I7_17"
"01125";"Reg_I7_17"
"01127";"Reg_I7_1"
"01128";"Reg_I7_4"
"01129";"Reg_84_86"
"01130";"Reg_I7_17"
"01133";"Reg_84_78"
"01134";"Reg_I7_4"
"01135";"Reg_I7_6"
